Vente_ID;Date;Client;Ville;Produit;Quantite;Prix_Unitaire
V0043;01/09/2026;  Cheikh Ba;Saint-Louis;Imprimante;7;126824
V0044;17/09/2026;Mamadou Diop;Dakar;Clavier;1;100063
V0045;15/09/2026;Mariama Sow;dakar;Ecran;7;429973
V0046;01/09/2026;  Cheikh Ba;DAKAR;Laptop;1;109500
V0047;02/09/2026;Mariama Sow;TOUBA;Ecran;6;444410
V0048;11/09/2026;Ousmane Ndiaye  ;TOUBA;Ecran;10;420745
V0049;02/09/2026;Ousmane Ndiaye  ;Dakar ;Imprimante;4;423678
V0050;22/09/2026;Ousmane Ndiaye  ;Kaolack;Imprimante;7;478497
V0051;16/09/2026;Fatou Fall;Thiès;Souris;10;442422
V0052;05/09/2026;Mamadou Diop;Thiès;Ecran;1;343037
V0053;13/09/2026;Mariama Sow;dakar;Imprimante;10;291111
V0054;22/09/2026;Mariama Sow;Thiès;Tablete;1;203405
V0055;21/09/2026;Sokhna Diallo;Kaolack;Ecran;4;101347
V0056;20/09/2026;Mariama Sow;dakar;Casque;6;15543
V0057;12/09/2026;Mariama Sow;DAKAR;Imprimante;7;202780
V0058;05/09/2026;Sokhna Diallo;Kaolack;Ecran;6;174050
V0059;04/09/2026;Awa Ndiaye;DAKAR;Souris;6;189940
V0060;11/09/2026;Mariama Sow;Dakar;Tablete;4;436071
V0061;04/09/2026;Abdoulaye Gueye;dakar;Imprimante;4;343691
V0062;16/09/2026;Abdoulaye Gueye;Saint-Louis;Ecran;7;194816
V0063;25/09/2026;Fatou Fall;Dakar ;Disque dur;3;93356
V0064;13/09/2026;Fatou Fall;Dakar ;Laptop;1;267455
V0065;30/09/2026;Mamadou Diop;Kaolack;Casque;9;285819
V0066;14/09/2026;Sokhna Diallo;dakar;Ecran;10;237608
V0067;16/09/2026;Mariama Sow;dakar;Imprimante;7;206454
V0068;06/09/2026;Abdoulaye Gueye;Kaolack;Imprimante;9;284933
V0069;07/09/2026;Ousmane Ndiaye  ;TOUBA;Casque;3;487698
V0070;04/09/2026;Abdoulaye Gueye;Thiès;Clavier;1;385857
V0071;20/09/2026;Abdoulaye Gueye;Dakar ;Laptop;4;307511
V0072;21/09/2026;  Cheikh Ba;dakar;Ecran;2;466776
V0073;01/09/2026;Awa Ndiaye;dakar;Laptop;8;113987
V0074;10/09/2026;Fatou Fall;Thiès;Souris;3;332601
V0075;01/09/2026;;DAKAR;Clavier;3;498330
V0076;05/09/2026;Sokhna Diallo;Saint-Louis;Casque;7;463627
V0077;13/09/2026;Ousmane Ndiaye  ;Kaolack;Casque;4;415720
V0078;21/09/2026;Mamadou Diop;Kaolack;Tablete;8;470164
V0079;02/09/2026;Sokhna Diallo;Saint-Louis;Casque;2;74260
V0080;10/09/2026;  Cheikh Ba;Saint-Louis;Clavier;2;472892
V0081;11/09/2026;Abdoulaye Gueye;Dakar ;Ecran;5;242222
V0082;13/09/2026;Mamadou Diop;Kaolack;Tablete;6;190808
V0083;15/09/2026;Fatou Fall;DAKAR;Ecran;3;314015
V0084;15/09/2026;Awa Ndiaye;Kaolack;Laptop;3;216847
V0085;13/09/2026;Mamadou Diop;Dakar;Disque dur;5;194819
V0086;26/09/2026;Ousmane Ndiaye  ;dakar;Souris;5;437289
V0087;11/09/2026;Sokhna Diallo;dakar;Casque;7;160537
V0088;18/09/2026;Awa Ndiaye;Thiès;Tablete;2;304172
V0089;17/09/2026;Ousmane Ndiaye  ;DAKAR;Ecran;4;231960
V0090;21/09/2026;Mariama Sow;dakar;Tablete;8;374542
V0091;11/09/2026;Ousmane Ndiaye  ;dakar;Casque;4;371258
V0092;23/09/2026;Ousmane Ndiaye  ;TOUBA;Tablete;10;212725
V0093;28/09/2026;Sokhna Diallo;Saint-Louis;Tablete;6;269615
V0094;26/09/2026;Mariama Sow;Kaolack;Disque dur;10;359217
V0095;25/09/2026;Abdoulaye Gueye;Thiès;Imprimante;9;240573
V0096;07/09/2026;Mamadou Diop;Kaolack;Imprimante;5;381375
V0097;12/09/2026;Awa Ndiaye;Kaolack;Imprimante;9;363428
V0098;22/09/2026;Sokhna Diallo;dakar;Laptop;2;407615
V0099;18/09/2026;Mariama Sow;Dakar;Laptop;3;82034
V0100;26/09/2026;Mamadou Diop;Kaolack;Ecran;6;235098
V0101;02/09/2026;Mamadou Diop;Kaolack;Clavier;10;497250
V0102;08/09/2026;Mariama Sow;Dakar;Disque dur;7;458332
V0103;13/09/2026;Mamadou Diop;DAKAR;Tablete;10;169040
V0104;24/09/2026;Awa Ndiaye;Kaolack;Disque dur;8;318151
V0105;14/09/2026;Ousmane Ndiaye  ;Saint-Louis;Casque;10;487777
V0106;01/09/2026;Mamadou Diop;TOUBA;Disque dur;8;42493
V0107;18/09/2026;Mamadou Diop;Dakar ;Clavier;2;133821
V0108;05/09/2026;Fatou Fall;Dakar;Clavier;4;86912
V0109;29/09/2026;Awa Ndiaye;Dakar ;Tablete;10;36919
V0110;21/09/2026;  Cheikh Ba;Kaolack;Ecran;2;65863
V0111;03/09/2026;Fatou Fall;DAKAR;Tablete;6;394727
V0112;13/09/2026;  Cheikh Ba;Thiès;Imprimante;8;483227
V0113;18/09/2026;Awa Ndiaye;Saint-Louis;Imprimante;3;48456
V0114;04/09/2026;Fatou Fall;TOUBA;Tablete;6;408951
V0115;15/09/2026;Fatou Fall;Dakar ;Ecran;5;224348
V0116;14/09/2026;Ousmane Ndiaye  ;Thiès;Tablete;6;391597
V0117;22/09/2026;  Cheikh Ba;Dakar ;Ecran;1;187444
V0118;08/09/2026;Fatou Fall;TOUBA;Laptop;3;477695
V0119;10/09/2026;Mamadou Diop;TOUBA;Tablete;4;281721
V0120;08/09/2026;Abdoulaye Gueye;Dakar ;Casque;7;291504
V0121;30/09/2026;Sokhna Diallo;DAKAR;Ecran;1;123978
V0122;04/09/2026;Ousmane Ndiaye  ;Thiès;Disque dur;9;186738
V0123;11/09/2026;Mariama Sow;Kaolack;Souris;1;319728
V0124;25/09/2026;Awa Ndiaye;Saint-Louis;Imprimante;8;478077
V0125;20/09/2026;Mamadou Diop;Thiès;Disque dur;5;153904
V0126;12/09/2026;  Cheikh Ba;Thiès;Clavier;1;156557
V0127;28/09/2026;Awa Ndiaye;Thiès;Tablete;7;287023
V0128;06/09/2026;Mariama Sow;TOUBA;Ecran;8;326609
V0129;30/09/2026;  Cheikh Ba;Dakar;Souris;4;116314
V0130;27/09/2026;Ousmane Ndiaye  ;Thiès;Laptop;10;473564
V0131;29/09/2026;Ousmane Ndiaye  ;dakar;Tablete;3;199396
V0132;03/09/2026;Sokhna Diallo;Dakar;Ecran;9;478224
V0133;16/09/2026;Ousmane Ndiaye  ;Dakar;Imprimante;5;462177
V0134;30/09/2026;Ousmane Ndiaye  ;Saint-Louis;Imprimante;3;19103
V0135;06/09/2026;Ousmane Ndiaye  ;Dakar;Disque dur;6;444215
V0136;11/09/2026;Sokhna Diallo;Dakar;Clavier;10;12864
V0137;18/09/2026;Awa Ndiaye;Saint-Louis;Imprimante;10;237911
V0138;13/09/2026;Sokhna Diallo;DAKAR;Casque;10;99762
V0139;05/09/2026;Awa Ndiaye;Kaolack;Tablete;2;259489
V0140;13/09/2026;Mamadou Diop;Dakar;Imprimante;7;419229
V0141;28/09/2026;  Cheikh Ba;dakar;Tablete;3;453122
V0142;09/09/2026;Abdoulaye Gueye;Kaolack;Tablete;4;33154
V0143;13/09/2026;Ousmane Ndiaye  ;Thiès;Laptop;2;484663
V0144;02/09/2026;Ousmane Ndiaye  ;Kaolack;Laptop;3;201389
V0145;11/09/2026;Ousmane Ndiaye  ;TOUBA;Laptop;8;465564
V0146;12/09/2026;Awa Ndiaye;Kaolack;Souris;6;293683
V0147;04/09/2026;Abdoulaye Gueye;Thiès;Tablete;1;187815
V0148;11/09/2026;Fatou Fall;Kaolack;Clavier;4;110688
V0149;30/09/2026;Awa Ndiaye;Saint-Louis;Clavier;7;352422
V0150;05/09/2026;Ousmane Ndiaye  ;Thiès;Clavier;10;107046
V0151;16/09/2026;  Cheikh Ba;TOUBA;Ecran;3;38675
V0152;24/09/2026;  Cheikh Ba;Kaolack;Laptop;1;314389
V0153;07/09/2026;Mamadou Diop;Saint-Louis;Disque dur;1;338838
V0154;02/09/2026;  Cheikh Ba;Dakar ;Clavier;4;53601
V0155;01/09/2026;Fatou Fall;Kaolack;Disque dur;1;288294
V0156;26/09/2026;Awa Ndiaye;TOUBA;Ecran;6;450332
V0157;22/09/2026;Mamadou Diop;Dakar ;Clavier;1;274174
V0158;27/09/2026;Mariama Sow;Kaolack;Imprimante;3;204816
V0159;27/09/2026;Mariama Sow;Dakar ;Tablete;10;374440
V0160;30/09/2026;Mariama Sow;Dakar;Imprimante;2;499367
V0161;01/09/2026;Sokhna Diallo;Dakar;Clavier;4;399710
V0162;29/09/2026;  Cheikh Ba;Dakar ;Laptop;2;328964
V0163;02/09/2026;Mamadou Diop;TOUBA;Imprimante;5;300017
V0164;13/09/2026;Ousmane Ndiaye  ;Kaolack;Laptop;1;323946
V0165;26/09/2026;Abdoulaye Gueye;Dakar ;Laptop;1;166756
V0166;08/09/2026;Mariama Sow;Kaolack;Laptop;10;18018
V0167;07/09/2026;Fatou Fall;Dakar;Clavier;9;179746
V0168;26/09/2026;Abdoulaye Gueye;Dakar;Disque dur;7;224679
V0169;03/09/2026;  Cheikh Ba;TOUBA;Tablete;8;383313
V0170;18/09/2026;Awa Ndiaye;DAKAR;Clavier;4;439769
V0171;14/09/2026;  Cheikh Ba;Thiès;Laptop;6;253600
V0172;15/09/2026;Sokhna Diallo;TOUBA;Tablete;2;356084
V0173;04/09/2026;Mamadou Diop;Saint-Louis;Laptop;5;329520
V0174;11/09/2026;Mamadou Diop;Thiès;Clavier;10;99456
V0175;29/09/2026;Ousmane Ndiaye  ;dakar;Laptop;10;469183
V0176;06/09/2026;Abdoulaye Gueye;dakar;Casque;6;195842
V0177;30/09/2026;Abdoulaye Gueye;Saint-Louis;Clavier;4;309277
V0178;03/09/2026;Fatou Fall;DAKAR;Casque;9;127820
V0179;23/09/2026;Mariama Sow;DAKAR;Souris;2;274690
V0180;20/09/2026;Abdoulaye Gueye;Saint-Louis;Laptop;3;399645
V0181;24/09/2026;Fatou Fall;Kaolack;Casque;4;386390
V0182;05/09/2026;Fatou Fall;dakar;Clavier;8;183564
V0183;11/09/2026;Abdoulaye Gueye;Kaolack;Casque;3;353945
V0184;24/09/2026;Mariama Sow;Thiès;Casque;6;279190
V0185;26/09/2026;Mamadou Diop;Dakar;Souris;5;225025
V0186;15/09/2026;Ousmane Ndiaye  ;Kaolack;Souris;5;202990
V0187;07/09/2026;Abdoulaye Gueye;dakar;Imprimante;2;18477
V0188;18/09/2026;  Cheikh Ba;TOUBA;Tablete;1;399206
V0189;02/09/2026;Fatou Fall;Dakar;Clavier;5;19646
V0190;28/09/2026;Mariama Sow;Thiès;Tablete;2;437308
V0191;13/09/2026;Sokhna Diallo;Dakar ;Tablete;3;280891
V0192;14/09/2026;Sokhna Diallo;Saint-Louis;Disque dur;1;369450
V0193;19/09/2026;Abdoulaye Gueye;Thiès;Ecran;4;10778
V0194;21/09/2026;Sokhna Diallo;DAKAR;Imprimante;2;62279
V0195;29/09/2026;Abdoulaye Gueye;Kaolack;Tablete;6;98974
V0196;10/09/2026;Mariama Sow;Thiès;Clavier;9;222154
V0197;20/09/2026;Awa Ndiaye;dakar;Disque dur;6;37439
V0198;03/09/2026;Mamadou Diop;Kaolack;Imprimante;6;320878
V0199;29/09/2026;Mariama Sow;dakar;Disque dur;2;155003
V0200;16/09/2026;Awa Ndiaye;Saint-Louis;Clavier;3;494970
V0201;12/09/2026;Awa Ndiaye;DAKAR;Imprimante;5;452916
V0202;25/09/2026;Mariama Sow;TOUBA;Laptop;3;370270
V0203;21/09/2026;Mariama Sow;Thiès;Imprimante;5;421328
V0204;09/09/2026;Mamadou Diop;Dakar ;Clavier;5;458083
V0205;10/09/2026;Fatou Fall;Saint-Louis;Imprimante;3;493768
V0206;07/09/2026;Mamadou Diop;dakar;Clavier;10;457354
V0207;24/09/2026;Ousmane Ndiaye  ;Dakar ;Souris;1;329305
V0208;05/09/2026;Sokhna Diallo;dakar;Clavier;5;300419
V0209;18/09/2026;Mariama Sow;DAKAR;Ecran;10;438218
V0210;19/09/2026;  Cheikh Ba;TOUBA;Laptop;8;426794
V0211;27/09/2026;Mariama Sow;Kaolack;Tablete;3;108860
V0212;01/09/2026;  Cheikh Ba;dakar;Clavier;2;291377
V0213;23/09/2026;  Cheikh Ba;TOUBA;Souris;4;168752
V0214;02/09/2026;Awa Ndiaye;Saint-Louis;Clavier;5;293906
V0215;02/09/2026;Mamadou Diop;DAKAR;Ecran;5;56281
V0216;06/09/2026;Abdoulaye Gueye;dakar;Disque dur;6;333926
V0217;15/09/2026;Fatou Fall;Saint-Louis;Souris;6;161163
V0218;16/09/2026;Mariama Sow;dakar;Casque;10;127973
V0219;05/09/2026;Mamadou Diop;dakar;Souris;7;170562
V0220;24/09/2026;Sokhna Diallo;Saint-Louis;Laptop;9;212861
V0221;17/09/2026;  Cheikh Ba;Saint-Louis;Laptop;10;396718
V0222;16/09/2026;Abdoulaye Gueye;Thiès;Ecran;2;260888
V0223;03/09/2026;Mariama Sow;Thiès;Souris;8;52529
V0224;17/09/2026;Awa Ndiaye;Dakar ;Tablete;7;263714
V0225;17/09/2026;  Cheikh Ba;Dakar;Casque;2;292084
V0226;01/09/2026;Abdoulaye Gueye;Saint-Louis;Imprimante;2;323035
V0227;18/09/2026;Awa Ndiaye;TOUBA;Casque;5;247176
V0228;27/09/2026;Mamadou Diop;DAKAR;Imprimante;7;75302
V0229;13/09/2026;Abdoulaye Gueye;Saint-Louis;Clavier;8;307214
V0230;09/09/2026;Abdoulaye Gueye;dakar;Ecran;6;169332
V0231;22/09/2026;Sokhna Diallo;Thiès;;8;256498
V0232;14/09/2026;Ousmane Ndiaye  ;Saint-Louis;Casque;8;194107
V0233;16/09/2026;Mamadou Diop;Kaolack;Laptop;6;435762
V0234;07/09/2026;Mariama Sow;TOUBA;Disque dur;7;351092
V0235;29/09/2026;Abdoulaye Gueye;Dakar ;Clavier;9;35495
V0236;05/09/2026;Mariama Sow;Kaolack;Laptop;7;120492
V0237;27/09/2026;  Cheikh Ba;Saint-Louis;Laptop;5;470800
V0238;27/09/2026;Abdoulaye Gueye;dakar;Laptop;7;291785
V0239;01/09/2026;  Cheikh Ba;Dakar ;Disque dur;6;258756
V0240;27/09/2026;  Cheikh Ba;Saint-Louis;Clavier;4;31231
V0241;19/09/2026;  Cheikh Ba;Kaolack;Imprimante;4;483753
V0242;25/09/2026;Awa Ndiaye;dakar;Laptop;10;423448
V0243;29/09/2026;;Kaolack;Souris;1;369534
V0244;11/09/2026;Awa Ndiaye;Dakar;Casque;5;375931
V0245;18/09/2026;Mariama Sow;Saint-Louis;Casque;8;466392
V0246;15/09/2026;Abdoulaye Gueye;Thiès;Tablete;2;496192
V0247;13/09/2026;Ousmane Ndiaye  ;Dakar;Tablete;2;423898
V0248;24/09/2026;Mamadou Diop;Dakar ;Laptop;7;80371
V0249;12/09/2026;Awa Ndiaye;Kaolack;Imprimante;10;317677
V0250;18/09/2026;Mamadou Diop;dakar;Ecran;5;122400
V0251;21/09/2026;  Cheikh Ba;Dakar ;Souris;8;213591
V0252;23/09/2026;  Cheikh Ba;DAKAR;Clavier;4;493327
V0253;05/09/2026;Abdoulaye Gueye;Saint-Louis;Casque;2;76972
V0254;28/09/2026;Sokhna Diallo;DAKAR;Disque dur;10;446332
V0255;22/09/2026;Fatou Fall;DAKAR;Ecran;1;430268
V0256;02/09/2026;Mamadou Diop;Dakar;Clavier;2;196349
V0257;14/09/2026;  Cheikh Ba;DAKAR;Clavier;1;350803
V0258;11/09/2026;Mamadou Diop;Kaolack;Clavier;5;10742
V0259;06/09/2026;Fatou Fall;dakar;Tablete;5;127603
V0260;28/09/2026;Abdoulaye Gueye;DAKAR;Laptop;5;76705
V0261;25/09/2026;  Cheikh Ba;Thiès;Casque;9;398918
V0262;07/09/2026;Mamadou Diop;Saint-Louis;Laptop;10;418148
V0263;21/09/2026;Sokhna Diallo;Saint-Louis;Souris;8;20885
V0264;12/09/2026;Awa Ndiaye;TOUBA;Clavier;5;341691
V0265;26/09/2026;Awa Ndiaye;Dakar;Clavier;7;306106
V0266;27/09/2026;Mariama Sow;Saint-Louis;Tablete;7;18745
V0267;25/09/2026;Sokhna Diallo;Dakar ;Laptop;7;30298
V0268;04/09/2026;Fatou Fall;Kaolack;Laptop;8;83058
V0269;20/09/2026;Mamadou Diop;Thiès;Laptop;10;441194
V0270;29/09/2026;Mariama Sow;dakar;Laptop;2;50016
V0271;24/09/2026;Awa Ndiaye;Dakar;Ecran;6;309930
V0272;16/09/2026;Sokhna Diallo;Kaolack;Casque;10;494669
V0273;16/09/2026;Abdoulaye Gueye;Thiès;Disque dur;6;216634
V0274;01/09/2026;Fatou Fall;dakar;Casque;1;76113
V0275;12/09/2026;Abdoulaye Gueye;Saint-Louis;Casque;1;171076
V0276;13/09/2026;Abdoulaye Gueye;Thiès;Ecran;7;94761
V0277;09/09/2026;Fatou Fall;Kaolack;Clavier;7;426430
V0278;01/09/2026;Ousmane Ndiaye  ;Thiès;Disque dur;8;285275
V0279;19/09/2026;Ousmane Ndiaye  ;Thiès;Tablete;3;414017
V0280;07/09/2026;Abdoulaye Gueye;Dakar ;Tablete;3;400269
V0281;11/09/2026;Awa Ndiaye;TOUBA;Clavier;1;93461
V0282;24/09/2026;Mariama Sow;Thiès;Imprimante;4;469044
V0283;27/09/2026;  Cheikh Ba;Thiès;Ecran;5;127437
V0284;06/09/2026;Ousmane Ndiaye  ;Saint-Louis;Souris;1;424944
V0285;19/09/2026;Awa Ndiaye;Dakar;Ecran;9;125836
V0286;14/09/2026;  Cheikh Ba;Saint-Louis;Ecran;10;150026
V0287;25/09/2026;Ousmane Ndiaye  ;Saint-Louis;Casque;9;141929
V0288;28/09/2026;Ousmane Ndiaye  ;Saint-Louis;Clavier;5;136174
V0289;15/09/2026;Sokhna Diallo;Saint-Louis;Tablete;1;491930
V0290;24/09/2026;Awa Ndiaye;DAKAR;Ecran;3;40694
V0291;29/09/2026;Fatou Fall;Saint-Louis;Clavier;4;245910
V0292;10/09/2026;Awa Ndiaye;Saint-Louis;Souris;8;386231
V0293;26/09/2026;Ousmane Ndiaye  ;DAKAR;Casque;4;296575
V0294;28/09/2026;Mariama Sow;Dakar;Clavier;2;28450
V0295;19/09/2026;  Cheikh Ba;Saint-Louis;Souris;4;376808
V0296;02/09/2026;Mariama Sow;Kaolack;Clavier;2;80431
V0297;26/09/2026;  Cheikh Ba;Dakar;Tablete;1;175913
V0298;27/09/2026;Fatou Fall;TOUBA;Disque dur;4;312603
V0299;24/09/2026;  Cheikh Ba;Dakar ;Casque;2;99293
V0300;03/09/2026;Fatou Fall;DAKAR;Imprimante;6;418788
V0301;30/09/2026;Awa Ndiaye;TOUBA;Imprimante;6;97564
V0302;18/09/2026;Fatou Fall;Kaolack;Imprimante;8;466790
V0303;02/09/2026;Sokhna Diallo;Saint-Louis;Clavier;9;194193
V0304;14/09/2026;Abdoulaye Gueye;Dakar;Casque;10;388983
V0305;30/09/2026;Mariama Sow;DAKAR;Clavier;1;181534
V0306;23/09/2026;Mamadou Diop;Dakar ;Souris;6;470057
V0307;23/09/2026;Ousmane Ndiaye  ;DAKAR;Clavier;6;338698
V0308;30/09/2026;Awa Ndiaye;dakar;Disque dur;5;153627
V0309;06/09/2026;Awa Ndiaye;DAKAR;Clavier;6;75554
V0310;09/09/2026;Sokhna Diallo;DAKAR;Disque dur;6;354700
V0311;17/09/2026;Mariama Sow;Thiès;Disque dur;7;338370
V0312;14/09/2026;  Cheikh Ba;Dakar;Ecran;8;53190
V0313;21/09/2026;  Cheikh Ba;TOUBA;Laptop;7;420546
V0314;04/09/2026;Mariama Sow;TOUBA;Imprimante;1;292898
V0315;14/09/2026;Mamadou Diop;TOUBA;Disque dur;8;108697
V0316;22/09/2026;Ousmane Ndiaye  ;Dakar;Clavier;7;63223
V0317;10/09/2026;Ousmane Ndiaye  ;TOUBA;Disque dur;6;274384
V0318;08/09/2026;Fatou Fall;TOUBA;Tablete;9;486277
V0319;20/09/2026;Abdoulaye Gueye;Thiès;Tablete;4;497339
V0320;25/09/2026;Fatou Fall;DAKAR;Tablete;9;317361
V0321;17/09/2026;Mariama Sow;TOUBA;Tablete;2;380929
V0322;01/09/2026;Sokhna Diallo;dakar;Imprimante;4;120930
V0323;12/09/2026;Ousmane Ndiaye  ;Thiès;Souris;3;323640
V0324;15/09/2026;Mamadou Diop;Thiès;Clavier;1;19219
V0325;07/09/2026;Mamadou Diop;Dakar ;Casque;7;232749
V0326;26/09/2026;Fatou Fall;TOUBA;Imprimante;10;427333
V0327;09/09/2026;Mamadou Diop;Dakar;Ecran;4;248644
V0328;28/09/2026;Mamadou Diop;dakar;Casque;2;212991
V0329;29/09/2026;Abdoulaye Gueye;Thiès;Tablete;5;294137
V0330;13/09/2026;Sokhna Diallo;Dakar ;Laptop;4;229130
V0331;24/09/2026;Sokhna Diallo;Dakar;Disque dur;3;398910
V0332;24/09/2026;  Cheikh Ba;DAKAR;Casque;9;385102
V0333;05/09/2026;  Cheikh Ba;Kaolack;Clavier;5;78868
V0334;12/09/2026;Abdoulaye Gueye;dakar;Disque dur;3;131093
V0335;24/09/2026;Awa Ndiaye;Dakar ;Disque dur;8;200018
V0336;19/09/2026;Sokhna Diallo;Saint-Louis;Laptop;4;265677
V0337;01/09/2026;Ousmane Ndiaye  ;DAKAR;Imprimante;2;142427
V0338;22/09/2026;Mariama Sow;Kaolack;Ecran;3;251648
V0339;22/09/2026;Mamadou Diop;dakar;Tablete;6;443165
V0340;14/09/2026;Ousmane Ndiaye  ;Thiès;Tablete;6;156443
V0341;29/09/2026;Abdoulaye Gueye;TOUBA;Casque;10;398974
V0342;01/09/2026;Awa Ndiaye;Dakar ;Ecran;8;496499
V0343;16/09/2026;Ousmane Ndiaye  ;Kaolack;Tablete;3;369909
V0344;25/09/2026;Awa Ndiaye;DAKAR;Tablete;5;475890
V0345;22/09/2026;Fatou Fall;dakar;Casque;7;203932
V0346;12/09/2026;Mamadou Diop;Dakar;Disque dur;8;224376
V0347;27/09/2026;Awa Ndiaye;Thiès;Tablete;6;373809
V0348;03/09/2026;Awa Ndiaye;Dakar ;Imprimante;9;401777
V0349;10/09/2026;Abdoulaye Gueye;dakar;Casque;2;151714
V0350;23/09/2026;Fatou Fall;Thiès;Souris;10;267225
V0351;07/09/2026;Ousmane Ndiaye  ;Saint-Louis;Souris;5;470181
V0352;07/09/2026;Abdoulaye Gueye;DAKAR;Laptop;8;182504
V0353;28/09/2026;Fatou Fall;Kaolack;Imprimante;2;131756
V0354;14/09/2026;  Cheikh Ba;Kaolack;Clavier;4;427023
V0355;26/09/2026;Fatou Fall;dakar;Clavier;7;295464
V0356;23/09/2026;Awa Ndiaye;dakar;Clavier;10;228555
V0357;05/09/2026;Awa Ndiaye;Saint-Louis;Ecran;8;432570
V0358;11/09/2026;Fatou Fall;TOUBA;Ecran;7;139789
V0359;30/09/2026;Awa Ndiaye;Dakar ;Ecran;10;214071
V0360;07/09/2026;Awa Ndiaye;Dakar ;Casque;5;419757
V0361;25/09/2026;Abdoulaye Gueye;TOUBA;Souris;6;179770
V0362;15/09/2026;  Cheikh Ba;DAKAR;Casque;4;495569
V0363;06/09/2026;Sokhna Diallo;Saint-Louis;Tablete;8;396056
V0364;26/09/2026;  Cheikh Ba;TOUBA;Ecran;7;424971
V0365;26/09/2026;Mariama Sow;Dakar ;Souris;5;79924
V0366;06/09/2026;Awa Ndiaye;dakar;Ecran;1;179588
V0367;29/09/2026;Abdoulaye Gueye;Dakar;Clavier;4;20494
V0368;30/09/2026;Ousmane Ndiaye  ;Saint-Louis;Disque dur;1;233946
V0369;08/09/2026;Awa Ndiaye;Dakar ;Imprimante;4;393823
V0370;29/09/2026;Mariama Sow;Kaolack;Ecran;1;361078
V0371;04/09/2026;Mamadou Diop;DAKAR;Casque;8;438642
V0372;25/09/2026;Mamadou Diop;DAKAR;Tablete;1;283311
V0373;15/09/2026;Fatou Fall;DAKAR;Souris;6;433607
V0374;09/09/2026;Ousmane Ndiaye  ;Saint-Louis;Laptop;10;42351
V0375;18/09/2026;Fatou Fall;Dakar ;Tablete;3;178933
V0376;27/09/2026;  Cheikh Ba;DAKAR;Tablete;10;483584
V0377;19/09/2026;Mamadou Diop;DAKAR;Clavier;9;115193
V0378;19/09/2026;Awa Ndiaye;DAKAR;Disque dur;6;134934
